created_at,user_id_str,text,Content_category,Audience_category,Content_source
Fri Jan 31 13:49:48 +0000 2020,42448284,"What the hell is wrong with these people?! People are dying &amp; Sec. Ross is focused on the ""boost"" for the US economy? #WTF #GoBackToSleepWilbur https://t.co/4i3Uw4QQIE",opinion,General,Secondary
Fri Jan 31 13:52:37 +0000 2020,1.04E+18,I feel like ass. I blame China.,opinion,local/personalized,First-hand
Sat Feb 29 10:11:26 +0000 2020,24478289,So the coronavirus is here in hawaii right? People are stock piling toliet paper not hand sanitizers..?,opinion,local/personalized,First-hand
Sat Feb 29 10:13:42 +0000 2020,30587164,I made my daughters partner promise that if I die from coronavirus she will take my body to the White House and prop me up with the sign stating this is trumps fault. https://t.co/UeKBfImCWq,opinion,local/personalized,First-hand
Sat Feb 29 10:14:23 +0000 2020,106977430,Risk of global coronavirus spread 'very high' warns WHO as China situation stabilizes https://t.co/WMOgQRVKFB,fact,General,Secondary
Sat Feb 29 10:34:22 +0000 2020,104608496,"@GavinNewsom Thank you Governor.  Those are the basic necessities that everyone should follow, in order to avoid catching the Corona Virus.  I’m sure the Trolls are spewing conspiracy theories here, but keep up the fight Governor.  We’re supporting you.",opinion,local/personalized,Secondary
Sat Feb 29 10:34:44 +0000 2020,119967155,Task force to oversee planning for any outbreak - https://t.co/uanGMkNu7R,fact,General,Secondary
Sat Feb 29 10:36:20 +0000 2020,264315612,"Hand washing with soap also works to prevent the transmission of other types of viruses, including those that don’t have membranes, &amp; including some of the most stable viruses known. https://t.co/VhzKogJzeF",fact,General,Secondary
Sat Feb 29 10:36:29 +0000 2020,7.85E+17,But this idiot thought he knew better. He deleted this tweet. https://t.co/uhFomL77FY https://t.co/cqTuV7EwKD,opinion,General,First-hand
Sat Feb 29 10:37:45 +0000 2020,16140497,Can someone please explain to me why people are buying out all the toilet paper at Costco because of the Corona virus?,question,General,First-hand
Sat Feb 29 10:39:44 +0000 2020,7.44E+17,COVID-19 has me listening to the Contagion soundtrack and pretending I'm a CDC Epidemiologist... Alas it's too late to change careers now,opinion,local/personalized,First-hand
Sat Feb 29 10:47:11 +0000 2020,16255749,"Masks can't stop the coronavirus in the US, but hysteria has led to bulk-buying, price-gouging and serious fear for the future https://t.co/bPZBdCSAtm",fact,General,Secondary
Sat Mar 14 22:00:18 +0000 2020,751357538,I urge all residents of #NorthamptonMA and Hampshire County to read this important message from our community hospital. @cooleydickinson is on the front lines of the #COVIDー19 outbreak and they need our help. https://t.co/BkqlaKuXfg,fact,local/personalized,Secondary
Sat Mar 14 22:17:39 +0000 2020,14441126,UC has a solution to the national shortage of coronavirus testing — do it in house https://t.co/dP69QHGDn2,fact,General,Secondary
Sat Mar 14 22:17:59 +0000 2020,205243850,"Currently sitting in a room with other passengers that have been tagged coming through customs. Per the customs agent, the CDC screening has been contracted out and the people who are supposed to be screening us currently aren’t here. No timeframe for being screened @THV11",opinion,local/personalized,First-hand
Sat Mar 14 22:18:27 +0000 2020,24420408,The entire reason I’m at Disney risking catching the Coronavirus. My niece is the Hawaiian with the huge ponytail flying on the left side. https://t.co/hSeXhW2Xwc,opinion,local/personalized,First-hand
Sat Mar 14 22:18:35 +0000 2020,7.89E+17,"There's no fear mongering in Identifying a pandemic, looking how it's rolling out around the world &amp; in our back yard. Then asking everyone to take necessary precautions to minimize spread, deaths &amp; the length of the pandemic!  Doing this will  stabilize markets faster as well! https://t.co/1TGW5jFKBV",fact,General,Secondary
Sat Mar 14 22:19:11 +0000 2020,130580145,Applause staff is practicing their #SocialDistancingNow skills @roysamuelgeorge  #SaturdayThoughts https://t.co/3763mKoMnU,fact,General,First-hand
Sat Mar 14 22:19:50 +0000 2020,72188511,"Finally, we encourage all customers to follow the CDC's suggested hygiene practices to reduce the spread of the virus like, washing your hands often with soap and water for 20 seconds and avoid touching your eyes, nose and mouth with unwashed hands. Part#4 https://t.co/i8rKhqnHy0",fact,General,Secondary
Sat Mar 14 22:19:58 +0000 2020,16264556,"Now this is a unique Corona post... saw it today near Frenchburg, KY @ Frenchburg, Kentucky https://t.co/2dkms5sVws",opinion,local/personalized,First-hand
Sat Mar 14 22:20:46 +0000 2020,72610906,It is shocking to me how many elderly people I've seen out and about just doing casual shopping in crowded stores these past few days. YOU GUYS ARE LITERALLY RISKING YOUR LIVES TO SAVE $5 ON RANDOM STUFF AT TARGET #coronavirus,opinion,General,First-hand
Sat Mar 14 22:20:58 +0000 2020,553657367,"So far, this social distancing looks pretty much like my regular life.",opinion,local/personalized,First-hand
Sat Mar 14 22:22:26 +0000 2020,78132725,20 residents test positive for #coronavirus in CT | News | https://t.co/KwGtuiTKkr https://t.co/4fc4tqoPSJ #COVIDー19,fact,General,Secondary
Sat Mar 14 22:23:08 +0000 2020,9.73E+17,The government is going about this all wrong. What they really need to do is hand out Chuck Norris masks to everyone. The #Coronavirus will implode from sheer terror. #COVIDー19 #coronapocalypse #ChuckNorris,opinion,General,First-hand
Sat Mar 14 22:40:30 +0000 2020,597201219,"Is hearing lost a symptom of Coronavirus, because I’m soo fucking tired of repeating myself to these rude ass customers🙃🙃",opinion,General,First-hand
Sat Mar 14 22:43:46 +0000 2020,782578706,"My aunt yelled out the window to a flock of geese that because of the coronavirus, they have to postpone having their babies 😂😂",opinion,local/personalized,First-hand
Sat Mar 14 22:45:32 +0000 2020,197630810,"Make them donate it, then guillotine them. Assholes. https://t.co/5UAMgz77qY",opinion,local/personalized,First-hand
Sun Feb 09 02:02:01 +0000 2020,21542510,if they pulled the stuff in the sixties and seventies they would have had their asses handed to them as they were thrown into jail so why isn't yhis happening today and they are charged with civil disobedience cuz apparently they think they're allowed to do this @realDonaldTrump https://t.co/2o0QufEzMB,opinion,General,First-hand
Sun Feb 09 02:04:21 +0000 2020,8.97E+17,"@Jackson92362948 @PeteTheJennings @MatthewJshow @realDonaldTrump True he's had to fight the insanity of the left all the way. They said his tariffs would bring us down, it even brought China to the table. Keep making America Great and if you're smart you'll keep
Trump/Pence in 2020.🙏🇺🇲❤",opinion,General,Secondary
Sun Feb 09 02:09:12 +0000 2020,4515650200,Can we send them to MN? https://t.co/dqSRvT7UH9,question,local/personalized,First-hand
Sun Feb 09 02:13:07 +0000 2020,145361565,Michigan is monitoring a new possible case of coronavirus in @OakGov County https://t.co/XLjnslsfVq,fact,local/personalized,Secondary
Sun Feb 09 02:58:05 +0000 2020,9.92E+17,White House Now Asking If Coronavirus Is a Bioweapon https://t.co/emcA1lluub,fact,General,Secondary
Sun Feb 09 06:56:46 +0000 2020,2542803811,3 years positive and I cannot tell you how many gay men try to HIV shame. https://t.co/d3W0CyCZ6T,opinion,General,First-hand
Thu Feb 06 07:11:55 +0000 2020,8.21E+17,"CDC intentionally combined OD deaths from illegal drugs w script opiates deaths just to increase FAKE NEWS anti-opiod Hysteria. Illegal fentanyl heroin cocaine meth are the Killers not script opiates
@POTUS @FLOTUS @ericbolling @SenJohnKennedy @parscale @SenatorBraun @MZHemingway https://t.co/2MZPn52Mvm",fact,General,Secondary
Thu Feb 06 07:27:44 +0000 2020,7.38E+17,Love when inland teams get exposure. https://t.co/ussJH1dnUH,opinion,local/personalized,First-hand
Thu Jan 30 13:07:02 +0000 2020,587861607,"Hot tip: a surgical mask won’t protect you, and you look like a moron. #coronavirus",fact,General,Secondary
Thu Jan 30 13:21:19 +0000 2020,2734251150,Health alert issued over Tigerair flight after passenger diagnosed with coronavirus  https://t.co/NuwewUpSHp,fact,General,Secondary
Thu Jan 30 13:24:28 +0000 2020,484151028,Thousands held on cruise ship over suspected coronavirus case  https://t.co/oZ3NMHPpGN,,local/personalized,Secondary
Thu Jan 30 13:24:37 +0000 2020,1.07E+18,The spread of the virus will also have an economic impact on Wisconsin. https://t.co/sRjjpmpLvZ,fact,local/personalized,Secondary
Thu Jan 30 13:32:02 +0000 2020,238230663,"Reason number 1,367 why I’m never taking a cruise. https://t.co/fjRVN99YYw",opinion,local/personalized,First-hand
Thu Jan 30 13:41:26 +0000 2020,309303871,"Get a flu vaccine annually. Cough &amp; sneeze into the crook of your arm, not your hands. WASH YOUR HANDS (with SOAP) FREQUENTLY, ya’ filthy animals!!!
https://t.co/JLaP54bu9C",fact,General,Secondary
Thu Jan 30 13:47:01 +0000 2020,1.20E+18,"Tom, you call China a liar but not trump who has lied to us over 16,000 times. Why are you even talking. Your opinion is worthless. Voting you out. https://t.co/b9Gox6lbVD",opinion,General,Secondary
Thu Jan 30 13:52:35 +0000 2020,8.30E+17,You cut the surveillance budget 80% . Who is left to monitor? https://t.co/CRRbxT8dQF https://t.co/BFKBuvWwcH,opinion,General,Secondary
Thu Jan 30 13:55:21 +0000 2020,2236800187,I would pretend cough so they can really be scared. https://t.co/gn3ke4jynJ,opinion,local/personalized,First-hand
Thu Jan 30 13:55:52 +0000 2020,13322182,"https://t.co/rHRjfkuXnb

I'm speechless, again...",opinion,local/personalized,First-hand
Thu Jan 30 13:56:55 +0000 2020,59047876,STILL NOT BANNED IN BOSTON: China flights still arriving at Logan International Airport as coronavir… https://t.co/YQl6oN7BV6,opinion,local/personalized,Secondary
Thu Jan 30 13:58:53 +0000 2020,14107460,"- Go to Health Services or your doctor, but call ahead and let them know you suspect coronavirus (you’ve been to China or in close contact with someone who was there)",opinion,General,Secondary
Thu Mar 12 05:01:21 +0000 2020,582371192,I already asked for graduation day off @Jacksterz_ so I'll go through a whole commencement ceremony with you in your living room https://t.co/nA3tldsx0o,opinion,local/personalized,First-hand
Thu Mar 12 05:03:22 +0000 2020,1.07E+18,"gas prices being low isnt good. its bad for people who live and work in the oilfield and who dependon it. but ya know, go off https://t.co/5ULQw79Qk5",opinion,General,First-hand
Thu Mar 12 05:21:40 +0000 2020,484392900,This is worse news than coronavirus https://t.co/lwaY1Jhl7Q,opinion,General,Secondary
Thu Mar 12 05:26:06 +0000 2020,7.51E+17,"If you see this report claiming to be from Stanford, don’t believe it. It’s not real. https://t.co/aREk4PpUHH",fact,General,Secondary
Thu Mar 12 05:47:27 +0000 2020,499192156,"This guy is an idiot! Courier Journal: Ex-Gov. Matt Bevin mocks coronavirus concerns

https://t.co/MO54rurs4c",fact,General,Secondary
Thu Mar 12 05:48:36 +0000 2020,1.15E+18,"yeah i have asthma. yeah I’m traveling to London. I’m at a higher risk of coronavirus in Houston than I am in the UK, gonna die anyway",opinion,local/personalized,First-hand
Tue Feb 11 17:47:53 +0000 2020,4700049796,"This Coronavirus is getting pretty scary. Really hoping it doesn’t get to Ohio State. Men’s basketball just played at Wisconsin, Women’s basketball just hosted Wisconsin, wrestling hosted Northwestern (2 cases in Chicago area), and men’s lacrosse just traveled to Boston U 😳 https://t.co/x2otBOmoz1",fact,local/personalized,First-hand
Tue Feb 11 17:57:34 +0000 2020,740115985,Medical screening stations at #unpacked today. Thanks China. #CoronavirusOutbreak,opinion,local/personalized,First-hand
Tue Jan 28 02:10:23 +0000 2020,1.04E+18,They said someone in Lakewood had the coronavirus and my roommate said they probably just mistook it for wook flu😭😭😭,opinion,local/personalized,Secondary
Tue Jan 28 02:23:02 +0000 2020,9.02E+17,Our prayers are with you #Wuhan! https://t.co/zOrnlKNTmU,opinion,General,First-hand
Tue Jan 28 02:28:53 +0000 2020,60566553,how did this coronavirus come about,question,General,First-hand
Tue Jan 28 02:35:15 +0000 2020,248917075,Coronavirus got me feeling like I’m starring in I Am Legend 2 smh 🤦🏾‍♂️ this virus is scary https://t.co/rSKrm9R8HI,opinion,local/personalized,First-hand
Tue Jan 28 02:48:06 +0000 2020,4448978975,Okay. This coronavirus has made me realize some of these chinese people are WEIRD,opinion,General,First-hand
Tue Mar 03 02:10:37 +0000 2020,1.02E+18,I work at a hospital and we are already receiving several calls asking about testing and we have zero answers except....don’t come to the hospital unless absolutely necessary and wash your hands. 🤦🏻‍♀️ #COVIDー19 https://t.co/BWrwYGtYF1,fact,General,First-hand
Tue Mar 03 02:12:32 +0000 2020,16190105,All clear! 4 OCFA firefighters quarantined because of possible coronavirus exposure are free to leave station 20. OCFA now says testing shows the patient they transported Sat night did not have Coronavirus. Just the possibility of that triggered the quarantine. @FOXLA https://t.co/g4BvJ2dOj9,fact,local/personalized,Secondary
Tue Mar 03 02:13:04 +0000 2020,596598446,"More people die from the flu every year... Corona ain't shit...

Stop people... just stop. https://t.co/QCQYIELcNG",opinion,General,First-hand
Tue Mar 03 02:15:02 +0000 2020,16848548,"Coronavirus scares the absolute shit out of me, not gonna lie.",opinion,local/personalized,First-hand
Tue Mar 03 02:15:24 +0000 2020,8.07E+17,"In my opinion, out Coronavirus and Credit Card overcharge debt, I worried of   Pelosi Illegal Immigration, not coming to make the America dream, instead to stole it's, legalizing criminals organizations, and, the Bureaucracy, than created a parallel power creating informal rules.",opinion,General,First-hand
Tue Mar 03 02:15:37 +0000 2020,2915245560,The coronavirus outbreak could mean no summer vacations this year in the Evergreen State #coronaviruswashington https://t.co/hgW9np3oOe,fact,local/personalized,Secondary
Tue Mar 03 02:15:45 +0000 2020,503415245,How two uniquely American issues could make the coronavirus worse https://t.co/4W3P8ZFZps via @YahooFinance,fact,General,Secondary
Tue Mar 03 02:16:24 +0000 2020,29561782,The people who are stocking up for fear of the coronavirus are the same ones who don’t wash their hands consistently after they use the bathroom,opinion,General,First-hand
Tue Mar 03 02:16:30 +0000 2020,630378169,When everyone’s making a big deal about the coronavirus but you realize less the 100k people have actually been affected heavy by the virus and we could use another plague https://t.co/5gwt94Vkc7,opinion,General,Secondary
Tue Mar 03 02:16:49 +0000 2020,36395921,Coronavirus screening at Arnold festival: What to expect... https://t.co/jJtRmQsb6q,fact,local/personalized,Secondary
Tue Mar 03 02:16:57 +0000 2020,102226248,This man thinks windmills cause cancer what on earth are you talking about. He will never get it. https://t.co/X1YpXUpsYU,opinion,local/personalized,First-hand
Tue Mar 03 02:17:14 +0000 2020,3303033874,Shared by viewers: pictures of empty shelves in stores across the valley. People are stocking up in fear of the coronavirus. Important to note: there are NO confirmed cases in Nevada. @FOX5Vegas https://t.co/Z2IBbBLRDl,fact,local/personalized,Secondary
Tue Mar 03 02:34:51 +0000 2020,15463434,San Antonio mayor declares local public health emergency over coronavirus https://t.co/l45knRhH4J,fact,local/personalized,Secondary
Tue Mar 03 02:34:55 +0000 2020,371545143,Man if I see one more person complain and be scared about the Coronavirus I’m gonna flip,opinion,local/personalized,First-hand
Tue Mar 03 02:35:19 +0000 2020,7.44E+17,"On the bright side, the corona virus is apparently ruining people trips to “Israel” aka Occupied Palestine",opinion,General,Secondary
Tue Mar 03 02:36:49 +0000 2020,4337846899,Is postmates a legitimate risk factor for corona virus? What if they cough or sneeze with my food in the car? I just ordered my dinner. Do I cancel it? Why do I feel like I’m panicking??,question,General,First-hand
Tue Mar 03 02:37:38 +0000 2020,2743783513,Honestly one of the most vital pieces of info I’ve read thus far ❤️🐱❤️ https://t.co/VdO4nkWiM0,opinion,local/personalized,First-hand
Tue Mar 03 02:38:32 +0000 2020,106463784,This Coronavirus thing will make millions of office workers realize that going to the office was a waste of time and many will never go back. @remote will be there to help.,opinion,General,First-hand
Tue Mar 03 02:39:11 +0000 2020,307110754,This is not true. Coronavirus is an enveloped virus that will be “killed” by alcohol-based sanitizers like hand sanitizer https://t.co/W27x7TMpEi,fact,General,Secondary
Tue Mar 03 02:39:43 +0000 2020,885754387,I seriously scrub up like a surgeon before eating lunch. #yuck https://t.co/oOdnUbfpMt,opinion,local/personalized,First-hand
Tue Mar 03 02:49:19 +0000 2020,17261693,"I just want to say thank you to @EdmondsCCPrez for his leadership in keeping faculty, staff and students safe at @EdmondsCC. I appreciate the frequent updates and the transparent communication. #COVIDー19 #writerslife #EducationMatters",fact,local/personalized,Secondary
Tue Mar 03 02:57:07 +0000 2020,189777708,"Aye, first case of the coronavirus in South Dakota....three more got to build up my immunity.  #ohcomeonlaugh https://t.co/fNP6b8YQpi",fact,local/personalized,Secondary
Tue Mar 03 02:57:50 +0000 2020,3317542777,"Good resource for the current virus as well as good advice for any other seasonal virus.  Read more at the CDC link below.

https://t.co/uDNExATvuV",fact,General,Secondary
Tue Mar 03 02:59:22 +0000 2020,141066990,"Today I heard about the first corporation that is not only limiting travel due to the coronavirus, but also restricting non-employees from visiting their office.  I suspect more companies will soon follow.",fact,General,Secondary
Tue Mar 03 02:59:38 +0000 2020,753743,"This is really good, pretty understandable for a lay person, and should be something you read. https://t.co/iFKZzAH2eo",opinion,local/personalized,First-hand
Wed Feb 05 03:01:57 +0000 2020,1.01E+18,"What people are forgetting is that many Asians wore face masks way before the #coronavirus trend. They came in many varieties. The ones who wore the surgicals were doctors, nail techs, collected cans, or worked in a dim sum spot. The rest were worn by artists and celebrities.",fact,General,Secondary
Wed Feb 05 03:03:50 +0000 2020,8.90E+17,No lie I got a dry ahh cough that’s been killing me https://t.co/wYMi1O17fF,opinion,local/personalized,First-hand
Wed Feb 05 03:09:48 +0000 2020,36976825,#ThingsThatMakeYouGoHmm don't quite understand why all these countries are chartering flights to get their citizens out when they all have plenty of big cargo planes they could send &amp; bring ppl home #coronavirus #preppers,question,General,Secondary
Wed Feb 05 03:16:01 +0000 2020,49410204,Glad to see Amazon stepping up to help! #coronavirus https://t.co/Ghd1oTP99I,opinion,General,Secondary
Wed Feb 19 03:04:15 +0000 2020,151630462,US Infected doubles to 29 #coronavirus  #COVID19 #CoronarvirusOutbreak #coronavirususa #Coronaviruscoverup #WuhanCoronavirus  #WuhanVirus #冠状病毒 https://t.co/JWHVoC1Idg,fact,General,Secondary
Wed Feb 19 03:20:57 +0000 2020,1388656794,This woman in China used a remote-controlled car to buy groceries amid the coronavirus outbreak https://t.co/bVEL3yry9a,fact,local/personalized,Secondary
Wed Feb 19 03:32:18 +0000 2020,57359277,"What is shocking is the silence of the international community, says @nuryturkel @uyghurproject, only the US has responded to atrocities committed by #China against the Uighurs. There’s a need to build an int’l coalition, he continues, and I would add, for the US to do more. https://t.co/Gbb6fGxtxy",opinion,General,Secondary
Wed Feb 19 03:36:08 +0000 2020,62165659,"Coronavirus is serious around here @ ATL-Atlanta,Ga https://t.co/x5QQpvKgpd",opinion,local/personalized,Secondary
Wed Feb 26 13:00:28 +0000 2020,352557959,"In preparation for the possibility of local detection of #coronavirus, we are prepared to implement, should need warrant it, alternate dismissal of students, reduce large scale student assemblies, while increasing school cleaning cycles.  @cdc @MDCPS",fact,local/personalized,Secondary
Wed Feb 26 13:18:20 +0000 2020,2802339536,"This is said a lot, but in any other administration the scale of this botched comms strategy over the last 24hrs on coronavirus would define the president headed into an election. https://t.co/ubEnEeWXXr",opinion,General,Secondary
Wed Feb 26 13:19:41 +0000 2020,10109412,"Between the rain in Florida and all the CDC warnings, this felt like the right soundtrack for the day. @ Port Charlotte, Florida https://t.co/jrrlDtRfb0",opinion,local/personalized,First-hand
Wed Feb 26 13:33:06 +0000 2020,3474493392,Woke up with a sore throat and a cough....I think it’s coronavirus. Tell my Moms I love her!,opinion,local/personalized,First-hand
Wed Feb 26 13:35:43 +0000 2020,18869510,"Trump is reportedly furious with the plunging stock market due to coronavirus fears - https://t.co/WnK9xy6IAE
DEEP STATE #CORONAVIRUSCUNT ... Dr. Nancy Messonnier, director of the CDC's National Center for Immunization and Respiratory Diseases",opinion,General,Secondary
Wed Feb 26 13:36:25 +0000 2020,286422178,"I maintain primarily 1st quarter numbers will have to be lowered (for some companies dramatically.) But if I’m wrong we could fall another 10% in #stocks. A big determinant is how quickly an effective #CoronaVirus vaccine can be mass produced, and if cases fall off w warmer temps",opinion,General,First-hand
Wed Feb 26 13:37:17 +0000 2020,65747107,Who is leading the White House CoronaVirus team? Is it Steven Miller or Jared Kushner?  Perhaps it’s Devin Nunes? @cspanwj,question,General,Secondary
Wed Feb 26 13:57:39 +0000 2020,42984972,Do these people think the CDC is a liberal news station? https://t.co/FshCQn4VOG,question,General,Secondary
Wed Feb 26 13:58:00 +0000 2020,59047876,CORONAVIRUS UPDATE:  UAE says ready for ‘worst case’ scenarios as coronavirus spreads in Middle East… https://t.co/ABhQxAIDB8,fact,General,Secondary
Wed Feb 26 18:15:22 +0000 2020,3650247017,They have axed some of the CDC departments a long time ago theres been a increase of cases and deaths and it will come here if you reach out to the CDC they will give you the info to report. He is trying to control his economy thats gonna blow up. We need to know what to do. He,fact,General,Secondary
Wed Feb 26 18:15:36 +0000 2020,1.05E+18,"I believe it is a bio weapon that they may or may not have released on purpose. It got Hong Kong protestors off the street &amp; front pages, gleans some of their most vulnerable—old &amp; young and an added bonus if it gets Americans mad at Mr Trump https://t.co/C451gNCbCC",opinion,local/personalized,First-hand
Wed Feb 26 18:15:51 +0000 2020,20699909,"JUST ADD THIS VIRUS TO HOMELESS AND ILLEGAL ALIEN DISASTER SAN FRAN.
OUCH!!

https://t.co/kOa81vC18z",opinion,local/personalized,First-hand
Wed Feb 26 18:35:56 +0000 2020,7.05E+17,Trump to cut funding to health program that helps low-income Americans to fund coronavirus response https://t.co/Dzku4Lv9Yq,fact,General,Secondary
Wed Feb 26 18:38:54 +0000 2020,3168450639,"Are Demonrats overhyping Coronavirus in order to damage the economy and Trump and win the election ? Regular flu killed 16,000 last year. One died from Covid 19 ( American) in the passenger ship",opinion,General,Secondary
Wed Feb 26 18:39:52 +0000 2020,228625234,My mom tells me she’s scared to cough in public because she doesn’t want people to think she has the corona virus 😢,opinion,General,First-hand
Wed Feb 26 18:58:21 +0000 2020,2274042343,"i understand the severity of the coronoavirus outbreak in areas other than the US, but the news channels in my state are doing a really good job of causing unnecessary panic with misleading headlines and unnecessary information",opinion,General,First-hand
Wed Feb 26 18:59:58 +0000 2020,62118848,Is this supposed to make me feel better? https://t.co/LKtA68Yigi,question,local/personalized,First-hand
Wed Jan 22 23:25:19 +0000 2020,8.19E+17,"We, in the age of viral recognition need to be so 
careful.  CDC, only government institution outside DC...needs to acquire samples.  

I live about 3 miles from CDC...but we can't walk around in fear as always. https://t.co/J5bHoaBnvg",opinion,General,First-hand
Wed Jan 29 06:01:27 +0000 2020,395719161,Why isn’t there a travel ban from China lol,opinion,General,First-hand
Wed Jan 29 06:02:57 +0000 2020,27464208,Coronavirus in the U.S.: Map of where the virus has been confirmed across the country https://t.co/ZolqyhKGoS via @nbcnews,fact,General,Secondary
Wed Jan 29 06:10:38 +0000 2020,256398424,I think it's time to wear this because the CORONAVIRUS has landed in the US. https://t.co/986bKtJIOT,fact,General,Secondary
Wed Jan 29 06:11:30 +0000 2020,8.95E+17,"Dad told me today that two of his coworkers were just infected with the coronavirus. 

Luckily, he had moved back to his hometown for the lunar new year. He’s not sure, however, when he’s gonna have to head back to work.

I asked him not to. But honestly, what say would I have.",opinion,local/personalized,First-hand
Wed Jan 29 06:14:25 +0000 2020,442186427,Amnesia is becoming an epidemic among republicans. https://t.co/tRzfqloIAt,opinion,General,First-hand
Wed Jan 29 06:17:19 +0000 2020,1648454892,im exposed to blood borne pathogens &amp; saliva for work. I don’t feel safe. Is there an osha training on this one? #coronavirus,question,General,First-hand
Wed Jan 29 06:17:44 +0000 2020,1.22E+18,"#coronarvirus In order to face the situation of the virus of wuhan, the government of China decided to build two hospitals in 10 days! 10 days! By the way,I moved into my apartment 6 months ago,and it is still using the dispel generator in stead of the power system.🤗🤗",fact,General,Secondary
Wed Jan 29 06:18:00 +0000 2020,7.20E+17,i heard mexicans dont get corona virus so we good,opinion,General,First-hand
Wed Jan 29 06:18:49 +0000 2020,7.72E+17,UCSD has 20% students from China of unknown backgrounds https://t.co/4GsXojZ0Q2,fact,local/personalized,Secondary
Wed Jan 29 06:37:39 +0000 2020,2686587222,"I stand with #antivaccine 
#coronavirus  #Coronovirus #FreedomOfSpeech https://t.co/fYPI1gJ8aH",opinion,General,First-hand
